Brand,Bangla,Generic (Composition),Strength,Form,Pack,Group,Company,Price,MRP,Rx
"Avlosef 125 mg/1.25 ml","Avlosef 125 mg/1.25 ml","Cephradine","125 mg/1.25 ml","Pediatric Drops","একক","First generation cephalosporins","ACI Limited","65.2","65.2","OTC"
"Avlosef 125 mg/5 ml","Avlosef 125 mg/5 ml","Cephradine","125 mg/5 ml","পাউডার সাসপেনশন","একক","First generation cephalosporins","ACI Limited","120","120","OTC"
"Avlosef 250 mg","Avlosef 250 mg","Cephradine","250 mg","ক্যাপসুল","8 x 4","First generation cephalosporins","ACI Limited","8.02","8.02","OTC"
"Avlosef 500 mg","Avlosef 500 mg","Cephradine","500 mg","ক্যাপসুল","8 x 4","First generation cephalosporins","ACI Limited","15.05","15.05","OTC"
"Avlosef DS 250 mg/5 ml","Avlosef DS 250 mg/5 ml","Cephradine","250 mg/5 ml","পাউডার সাসপেনশন","একক","First generation cephalosporins","ACI Limited","135.41","135.41","OTC"
"Avlotrin (200 mg+40 mg)/5 ml","Avlotrin (200 mg+40 mg)/5 ml","Sulphamethoxazole + Trimethoprim","200 mg+40 mg)/5 ml","Oral Suspension","একক","Anti-diarrhoeal antimicrobial drugs, Other antibacterial preparation","ACI Limited","22.21","22.21","OTC"
"Avlotrin DS 800 mg+160 mg","Avlotrin DS 800 mg+160 mg","Sulphamethoxazole + Trimethoprim","800 mg+160 mg","ট্যাবলেট","20 x 10","Anti-diarrhoeal antimicrobial drugs, Other antibacterial preparation","ACI Limited","2.01","2.01","OTC"
"Avocard 10 mg","Avocard 10 mg","Atorvastatin Calcium","10 mg","ট্যাবলেট","3 x 10","Other Anti-anginal & Anti-ischaemic drugs, Statins","The White Horse Pharmaceuticals Ltd.","12","12","OTC"
"Avocard 20 mg","Avocard 20 mg","Atorvastatin Calcium","20 mg","ট্যাবলেট","3 x 10","Other Anti-anginal & Anti-ischaemic drugs, Statins","The White Horse Pharmaceuticals Ltd.","18","18","OTC"
"Avodil VL 10 mg+320 mg","Avodil VL 10 mg+320 mg","Amlodipine Besilate + Valsartan","10 mg+320 mg","ট্যাবলেট","2 x 10","Combined antihypertensive preparations","Opsonin Pharma Ltd.","32","32","OTC"
"Avolac 3.35 gm/5 ml","Avolac 3.35 gm/5 ml","Lactulose","3.35 gm/5 ml","Oral Solution","একক","Osmotic purgatives","Aristopharma Ltd.","200","200","OTC"
"Avolose 3.35 gm/5 ml","Avolose 3.35 gm/5 ml","Lactulose","3.35 gm/5 ml","Oral Solution","একক","Osmotic purgatives","Team Pharmaceuticals Ltd.","135","135","OTC"
"Avomine 25 mg","Avomine 25 mg","Promethazine Theoclate","25 mg","ট্যাবলেট","50 x 10","Anti-emetic drugs, Miscellaneous sedatives & hypnotics, Sedating Anti-histamine","Synovia Pharma PLC.","0.57","0.57","OTC"
"Avomit 10 mg","Avomit 10 mg","Domperidone Maleate","10 mg","ট্যাবলেট","15 x 10","Motility Stimulants, Motility stimulants/Dopamine antagonist, Prokinetic drugs","Chemist Laboratories  Ltd.","3.5","3.5","OTC"
"Avomit 5 mg/5 ml","Avomit 5 mg/5 ml","Domperidone Maleate","5 mg/5 ml","Oral Suspension","একক","Motility Stimulants, Motility stimulants/Dopamine antagonist, Prokinetic drugs","Chemist Laboratories  Ltd.","40","40","OTC"
"Avona 4 mg/5 ml","Avona 4 mg/5 ml","Ondansetron","4 mg/5 ml","Oral Solution","একক","Anti-emetic drugs","Popular Pharmaceuticals Ltd.","32","32","OTC"
"Avona 8 mg","Avona 8 mg","Ondansetron","8 mg","ট্যাবলেট","3 x 10","Anti-emetic drugs","Popular Pharmaceuticals Ltd.","10","10","OTC"
"Avonex 25 mg+50 mg","Avonex 25 mg+50 mg","Meclizine + Pyridoxine","25 mg+50 mg","ট্যাবলেট","30's pack","Anti-emetic drugs","Novo Healthcare and Pharma Ltd.","2.51","2.51","OTC"
"Avonoid 450 mg+50 mg","Avonoid 450 mg+50 mg","Diosmin + Hesperidin","450 mg+50 mg","ট্যাবলেট","3 x 10","Phlebotonic & Vascular protecting preparation","UniMed UniHealth Pharmaceuticals Ltd.","8","8","OTC"
"Avost 0.004%","Avost 0.004%","Travoprost","0.004%","Ophthalmic Solution","একক","Drugs for miotics and glaucoma","The IBN SINA Pharmaceutical PLC","520","520","OTC"
"Avotil 5 mg","Avotil 5 mg","Prochlorperazine Maleate","5 mg","ট্যাবলেট","20 x 10","Anti vertigo drugs, Anti-emetic drugs","Rephco Pharmaceuticals Ltd.","0.3","0.3","OTC"
"Avro 0.004%","Avro 0.004%","Travoprost","0.004%","Ophthalmic Solution","একক","Drugs for miotics and glaucoma","Drug International Ltd.","451.4","451.4","OTC"
"Avudin 150 mg+300 mg","Avudin 150 mg+300 mg","Lamivudine + Zidovudine","150 mg+300 mg","ট্যাবলেট","1 x 10","Drugs for HIV / Anti-retroviral drugs","Square Pharmaceuticals PLC","45","45","OTC"
"Avycef (2 gm+0.5 gm)/vial","Avycef (2 gm+0.5 gm)/vial","Ceftazidime + Avibactam","2 gm+0.5 gm)/vial","আইভি ইনফিউশন","একক","Third generation cephalosporins","Healthcare Pharmaceuticals Ltd.","2800","2800","Rx"
"AX 6 mg+200 mg+50 mg","AX 6 mg+200 mg+50 mg","Beta carotene + Vitamin C + Vitamin E","6 mg+200 mg+50 mg","ট্যাবলেট","30's pack","Anti-oxidant Multivitamin preparations","Bristol Pharmaceuticals Ltd.","2.53","2.53","OTC"
"Axant 10 mg","Axant 10 mg","Baclofen","10 mg","ট্যাবলেট","30's pack","Centrally acting Skeletal Muscle Relaxants","Novus Pharmaceuticals Ltd.","4.5","4.5","OTC"
"Axant 25 mg","Axant 25 mg","Baclofen","25 mg","ট্যাবলেট","20's pack","Centrally acting Skeletal Muscle Relaxants","Novus Pharmaceuticals Ltd.","8","8","OTC"
"Axeclav (125 mg+31.25 mg)/5 ml","Axeclav (125 mg+31.25 mg)/5 ml","Cefuroxime Axetil + Clavulanic Acid","125 mg+31.25 mg)/5 ml","পাউডার সাসপেনশন","একক","Second generation cephalosporins","Alco Pharma Ltd.","250","250","OTC"
"Axeclav 250 mg+62.5 mg","Axeclav 250 mg+62.5 mg","Cefuroxime Axetil + Clavulanic Acid","250 mg+62.5 mg","ট্যাবলেট","2 x 6","Second generation cephalosporins","Alco Pharma Ltd.","35","35","OTC"
"Axeclav 500 mg+125 mg","Axeclav 500 mg+125 mg","Cefuroxime Axetil + Clavulanic Acid","500 mg+125 mg","ট্যাবলেট","2 x 4","Second generation cephalosporins","Alco Pharma Ltd.","65","65","OTC"
"Axefur 125 mg/5 ml","Axefur 125 mg/5 ml","Cefuroxime Axetil","125 mg/5 ml","পাউডার সাসপেনশন","একক","Second generation cephalosporins","Amulet Pharmaceuticals Ltd.","198","198","OTC"
"Axefur 250 mg","Axefur 250 mg","Cefuroxime Axetil","250 mg","ট্যাবলেট","12's pack","Second generation cephalosporins","Amulet Pharmaceuticals Ltd.","25","25","OTC"
"Axefur 500 mg","Axefur 500 mg","Cefuroxime Axetil","500 mg","ট্যাবলেট","6's pack","Second generation cephalosporins","Amulet Pharmaceuticals Ltd.","45.13","45.13","OTC"
"Axepime 1 gm/vial","Axepime 1 gm/vial","Cefepime Hydrochloride","1 gm/vial","IM/IV Injection","একক","Fourth generation cephalosporins","Euro Pharma Ltd.","550","550","OTC"
"Axet 125 mg","Axet 125 mg","Cefuroxime Axetil","125 mg","ট্যাবলেট","2 x 10","Second generation cephalosporins","Orion Pharma Ltd.","15.1","15.1","OTC"
"Axet 125 mg/5 ml","Axet 125 mg/5 ml","Cefuroxime Axetil","125 mg/5 ml","পাউডার সাসপেনশন","একক","Second generation cephalosporins","Orion Pharma Ltd.","216.46","216.46","OTC"
"Axet 250 mg","Axet 250 mg","Cefuroxime Axetil","250 mg","ট্যাবলেট","2 x 10","Second generation cephalosporins","Orion Pharma Ltd.","25.16","25.16","OTC"
"Axet 500 mg","Axet 500 mg","Cefuroxime Axetil","500 mg","ট্যাবলেট","3 x 4","Second generation cephalosporins","Orion Pharma Ltd.","45.3","45.3","OTC"
"Axet 750 mg/vial","Axet 750 mg/vial","Cefuroxime Axetil","750 mg/vial","IM/IV Injection","একক","Second generation cephalosporins","Orion Pharma Ltd.","125.85","125.85","OTC"
"Axetil 125 mg","Axetil 125 mg","Cefuroxime Axetil","125 mg","ট্যাবলেট","2 x 6","Second generation cephalosporins","Alco Pharma Ltd.","12.08","12.08","OTC"
"Axetil 125 mg/5 ml","Axetil 125 mg/5 ml","Cefuroxime Axetil","125 mg/5 ml","পাউডার সাসপেনশন","একক","Second generation cephalosporins","Alco Pharma Ltd.","190.58","190.58","OTC"
"Axetil 250 mg","Axetil 250 mg","Cefuroxime Axetil","250 mg","ট্যাবলেট","2 x 6","Second generation cephalosporins","Alco Pharma Ltd.","25.08","25.08","OTC"
"Axetil 500 mg","Axetil 500 mg","Cefuroxime Axetil","500 mg","ট্যাবলেট","2 x 6","Second generation cephalosporins","Alco Pharma Ltd.","45.17","45.17","OTC"
"Axibid 250 mg","Axibid 250 mg","Cefuroxime Axetil","250 mg","ট্যাবলেট","2 x 7","Second generation cephalosporins","Nuvista Pharma Ltd.","25.08","25.08","OTC"
"Axibid 500 mg","Axibid 500 mg","Cefuroxime Axetil","500 mg","ট্যাবলেট","1 x 7","Second generation cephalosporins","Nuvista Pharma Ltd.","45.13","45.13","OTC"
"Axicef 125 mg/5 ml","Axicef 125 mg/5 ml","Cefuroxime Axetil","125 mg/5 ml","পাউডার সাসপেনশন","একক","Second generation cephalosporins","UniMed UniHealth Pharmaceuticals Ltd.","250","250","OTC"
"Axicef 250 mg","Axicef 250 mg","Cefuroxime Axetil","250 mg","ট্যাবলেট","2 x 7","Second generation cephalosporins","UniMed UniHealth Pharmaceuticals Ltd.","30","30","OTC"
"Axicef 500 mg","Axicef 500 mg","Cefuroxime Axetil","500 mg","ট্যাবলেট","2 x 7","Second generation cephalosporins","UniMed UniHealth Pharmaceuticals Ltd.","50","50","OTC"
"Axicef Plus (125 mg+31.25 mg)/5 ml","Axicef Plus (125 mg+31.25 mg)/5 ml","Cefuroxime Axetil + Clavulanic Acid","125 mg+31.25 mg)/5 ml","পাউডার সাসপেনশন","একক","Second generation cephalosporins","UniMed UniHealth Pharmaceuticals Ltd.","280","280","OTC"
"Axicef Plus 250 mg+62.5 mg","Axicef Plus 250 mg+62.5 mg","Cefuroxime Axetil + Clavulanic Acid","250 mg+62.5 mg","ট্যাবলেট","2 x 7","Second generation cephalosporins","UniMed UniHealth Pharmaceuticals Ltd.","40","40","OTC"
"Axicef Plus 500 mg+125 mg","Axicef Plus 500 mg+125 mg","Cefuroxime Axetil + Clavulanic Acid","500 mg+125 mg","ট্যাবলেট","2 x 7","Second generation cephalosporins","UniMed UniHealth Pharmaceuticals Ltd.","65","65","OTC"
"Axidin 20 mg","Axidin 20 mg","Famotidine","20 mg","ট্যাবলেট","5 x 10","","UniMed UniHealth Pharmaceuticals Ltd.","2","2","OTC"
"Axidin 40 mg","Axidin 40 mg","Famotidine","40 mg","ট্যাবলেট","5 x 10","","UniMed UniHealth Pharmaceuticals Ltd.","3.5","3.5","OTC"
"Axim 1.5 gm/vial","Axim 1.5 gm/vial","Cefuroxime Axetil","1.5 gm/vial","IV Injection","একক","Second generation cephalosporins","Aristopharma Ltd.","200","200","OTC"
"Axim 125 mg","Axim 125 mg","Cefuroxime Axetil","125 mg","ট্যাবলেট","1 x 10","Second generation cephalosporins","Aristopharma Ltd.","15","15","OTC"
"Axim 125 mg/5 ml","Axim 125 mg/5 ml","Cefuroxime Axetil","125 mg/5 ml","পাউডার সাসপেনশন","একক","Second generation cephalosporins","Aristopharma Ltd.","225","225","OTC"
"Axim 250 mg","Axim 250 mg","Cefuroxime Axetil","250 mg","ট্যাবলেট","2 x 10","Second generation cephalosporins","Aristopharma Ltd.","25","25","OTC"
"Axim 500 mg","Axim 500 mg","Cefuroxime Axetil","500 mg","ট্যাবলেট","1 x 10","Second generation cephalosporins","Aristopharma Ltd.","45","45","OTC"
"Axim 750 mg/vial","Axim 750 mg/vial","Cefuroxime Axetil","750 mg/vial","IM/IV Injection","একক","Second generation cephalosporins","Aristopharma Ltd.","125","125","OTC"
"Axim CV (125 mg+31.25 mg)/5 ml","Axim CV (125 mg+31.25 mg)/5 ml","Cefuroxime Axetil + Clavulanic Acid","125 mg+31.25 mg)/5 ml","পাউডার সাসপেনশন","একক","Second generation cephalosporins","Aristopharma Ltd.","285","285","OTC"
"Axim CV 250 mg+62.5 mg","Axim CV 250 mg+62.5 mg","Cefuroxime Axetil + Clavulanic Acid","250 mg+62.5 mg","ট্যাবলেট","2 x 7","Second generation cephalosporins","Aristopharma Ltd.","35","35","OTC"
"Axim CV 500 mg+125 mg","Axim CV 500 mg+125 mg","Cefuroxime Axetil + Clavulanic Acid","500 mg+125 mg","ট্যাবলেট","2 x 7","Second generation cephalosporins","Aristopharma Ltd.","65","65","OTC"
"Aximin 200 mg","Aximin 200 mg","Rifaximin","200 mg","ট্যাবলেট","1 x 10","4-Quinolone preparations","ACME Laboratories Ltd.","20.07","20.07","OTC"
"Aximin 550 mg","Aximin 550 mg","Rifaximin","550 mg","ট্যাবলেট","1 x 10","4-Quinolone preparations","ACME Laboratories Ltd.","45.13","45.13","OTC"
"Axinat-F (25 mcg+125 mcg)/puff","Axinat-F (25 mcg+125 mcg)/puff","Salmeterol + Fluticasone Propionate","25 mcg+125 mcg)/puff","Metered-Dose Inhaler (MDI)","একক","Long-acting selective β-adrenoceptor stimulants, Respiratory corticosteroids","ACME Laboratories Ltd.","577","577","OTC"
"Axinat-F (25 mcg+250 mcg)/puff","Axinat-F (25 mcg+250 mcg)/puff","Salmeterol + Fluticasone Propionate","25 mcg+250 mcg)/puff","Metered-Dose Inhaler (MDI)","একক","Long-acting selective β-adrenoceptor stimulants, Respiratory corticosteroids","ACME Laboratories Ltd.","752","752","OTC"
"Axita 100 mg","Axita 100 mg","Itraconazole","100 mg","ক্যাপসুল","4 x 6","Drugs for subcutaneous and mycoses","General Pharmaceuticals Ltd.","15","15","OTC"
"Axita 200 mg","Axita 200 mg","Itraconazole","200 mg","ট্যাবলেট","3 x 6","Drugs for subcutaneous and mycoses","General Pharmaceuticals Ltd.","25","25","OTC"
"Axita 5 mg","Axita 5 mg","Axitinib","5 mg","ট্যাবলেট","2 x 10","Targeted Cancer Therapy","Beacon Pharmaceuticals PLC","1000","1000","OTC"
"Axlovir 150 mg+100 mg","Axlovir 150 mg+100 mg","Nirmatrelvir + Ritonavir","150 mg+100 mg","ট্যাবলেট","একক","Anti-viral drugs","Square Pharmaceuticals PLC","1600","1600","OTC"
"Axodin 120 mg","Axodin 120 mg","Fexofenadine Hydrochloride","120 mg","ট্যাবলেট","3 x 10","Non-sedating antihistamines","Beximco Pharmaceuticals Ltd.","7","7","OTC"
"Axodin 180 mg","Axodin 180 mg","Fexofenadine Hydrochloride","180 mg","ট্যাবলেট","3 x 10","Non-sedating antihistamines","Beximco Pharmaceuticals Ltd.","9","9","OTC"
"Axodin 30 mg/5 ml","Axodin 30 mg/5 ml","Fexofenadine Hydrochloride","30 mg/5 ml","Oral Suspension","একক","Non-sedating antihistamines","Beximco Pharmaceuticals Ltd.","55","55","OTC"
"Axodin 60 mg","Axodin 60 mg","Fexofenadine Hydrochloride","60 mg","ট্যাবলেট","5 x 10","Non-sedating antihistamines","Beximco Pharmaceuticals Ltd.","5","5","OTC"
"Axofen 120 mg","Axofen 120 mg","Fexofenadine Hydrochloride","120 mg","ট্যাবলেট","3 x 10","Non-sedating antihistamines","Aristopharma Ltd.","9","9","OTC"
"Axofen 180 mg","Axofen 180 mg","Fexofenadine Hydrochloride","180 mg","ট্যাবলেট","2 x 10","Non-sedating antihistamines","Aristopharma Ltd.","10","10","OTC"
"Axofen 30 mg/5 ml","Axofen 30 mg/5 ml","Fexofenadine Hydrochloride","30 mg/5 ml","Oral Suspension","একক","Non-sedating antihistamines","Aristopharma Ltd.","55","55","OTC"
"Axofyl 200 mg","Axofyl 200 mg","Doxophylline","200 mg","ট্যাবলেট","3 x 10","Bronchodilator, Methyl xanthine derivatives","Orion Pharma Ltd.","7","7","OTC"
"Axofyl 400 mg","Axofyl 400 mg","Doxophylline","400 mg","ট্যাবলেট","3 x 10","Bronchodilator, Methyl xanthine derivatives","Orion Pharma Ltd.","10","10","OTC"
"Axon 1 gm/vial","Axon 1 gm/vial","Ceftriaxone Sodium","1 gm/vial","IM Injection","একক","Third generation cephalosporins","Aristopharma Ltd.","200","200","OTC"
"Axon 1 gm/vial","Axon 1 gm/vial","Ceftriaxone Sodium","1 gm/vial","IV Injection","একক","Third generation cephalosporins","Aristopharma Ltd.","200","200","OTC"
"Axon 2 gm/vial","Axon 2 gm/vial","Ceftriaxone Sodium","2 gm/vial","IV Injection","একক","Third generation cephalosporins","Aristopharma Ltd.","300","300","OTC"
"Axon 250 mg/vial","Axon 250 mg/vial","Ceftriaxone Sodium","250 mg/vial","IM Injection","একক","Third generation cephalosporins","Aristopharma Ltd.","100","100","OTC"
"Axon 250 mg/vial","Axon 250 mg/vial","Ceftriaxone Sodium","250 mg/vial","IV Injection","একক","Third generation cephalosporins","Aristopharma Ltd.","100","100","OTC"
"Axon 500 mg/vial","Axon 500 mg/vial","Ceftriaxone Sodium","500 mg/vial","IV Injection","একক","Third generation cephalosporins","Aristopharma Ltd.","130","130","OTC"
"Axon 500 mg/vial","Axon 500 mg/vial","Ceftriaxone Sodium","500 mg/vial","IM Injection","একক","Third generation cephalosporins","Aristopharma Ltd.","130","130","OTC"
"Axosin 1 gm/vial","Axosin 1 gm/vial","Ceftriaxone Sodium","1 gm/vial","IM Injection","একক","Third generation cephalosporins","The IBN SINA Pharmaceutical PLC","180","180","OTC"
"Axosin 1 gm/vial","Axosin 1 gm/vial","Ceftriaxone Sodium","1 gm/vial","IV Injection","একক","Third generation cephalosporins","The IBN SINA Pharmaceutical PLC","180","180","OTC"
"Axosin 2 gm/vial","Axosin 2 gm/vial","Ceftriaxone Sodium","2 gm/vial","IV Injection","একক","Third generation cephalosporins","The IBN SINA Pharmaceutical PLC","290","290","OTC"
"Axosin 250 mg/vial","Axosin 250 mg/vial","Ceftriaxone Sodium","250 mg/vial","IM Injection","একক","Third generation cephalosporins","The IBN SINA Pharmaceutical PLC","90","90","OTC"
"Axosin 500 mg/vial","Axosin 500 mg/vial","Ceftriaxone Sodium","500 mg/vial","IM Injection","একক","Third generation cephalosporins","The IBN SINA Pharmaceutical PLC","120.46","120.46","OTC"
"Axosin 500 mg/vial","Axosin 500 mg/vial","Ceftriaxone Sodium","500 mg/vial","IV Injection","একক","Third generation cephalosporins","The IBN SINA Pharmaceutical PLC","120.46","120.46","OTC"
"Axovit 100 mg+200 mg+200 mcg","Axovit 100 mg+200 mg+200 mcg","Vitamin B1, B6 & B12","100 mg+200 mg+200 mcg","ট্যাবলেট","5 x 10","Specific combined vitamin preparations","Doctor TIMS Pharmaceuticals Ltd.","7","7","OTC"
"Axsol 15 mg/5 ml","Axsol 15 mg/5 ml","Ambroxol Hydrochloride","15 mg/5 ml","সিরাপ","একক","Cough expectorants & mucolytics","Nipa Pharmaceuticals Ltd.","40","40","OTC"
"Axxo 0.05%+0.75%+2%+1%","Axxo 0.05%+0.75%+2%+1%","Clobetasol Propionate + Ofloxacin + Ornidazole + Terbinafine","0.05%+0.75%+2%+1%","ক্রিম","একক","4-Quinolone preparations, Clobetasol / Clobetasone & Combined Preparations","General Pharmaceuticals Ltd.","150","150","OTC"
"AZ 200 mg/5 ml","AZ 200 mg/5 ml","Azithromycin Dihydrate","200 mg/5 ml","পাউডার সাসপেনশন","একক","Macrolides","Aristopharma Ltd.","200","200","OTC"
"AZ 250 mg","AZ 250 mg","Azithromycin Dihydrate","250 mg","ট্যাবলেট","1 x 10","Macrolides","Aristopharma Ltd.","30","30","OTC"
"AZ 500 mg","AZ 500 mg","Azithromycin Dihydrate","500 mg","ট্যাবলেট","4 x 3","Macrolides","Aristopharma Ltd.","55","55","OTC"
"Azacitid 100 mg/vial","Azacitid 100 mg/vial","Azacitidine","100 mg/vial","IV/SC Injection","একক","Cytotoxic Chemotherapy","Beacon Pharmaceuticals PLC","6500","6500","OTC"
"Azacitid 300 mg","Azacitid 300 mg","Azacitidine","300 mg","ট্যাবলেট","4 x 4","Cytotoxic Chemotherapy","Beacon Pharmaceuticals PLC","1400","1400","OTC"
"Azacitidine 100 mg/vial","Azacitidine 100 mg/vial","Azacitidine","100 mg/vial","IV/SC Injection","একক","Cytotoxic Chemotherapy","ZAS Corporation","9400","9400","OTC"
"Azactum 1 gm/5 ml","Azactum 1 gm/5 ml","Aztreonam","1 gm/5 ml","IM/IV Injection","একক","Other beta-lactam antibiotics","Drug International Ltd.","400","400","OTC"
"Azalid 200 mg/5 ml","Azalid 200 mg/5 ml","Azithromycin Dihydrate","200 mg/5 ml","পাউডার সাসপেনশন","একক","Macrolides","Orion Pharma Ltd.","85.58","85.58","OTC"
"Azalid 250 mg","Azalid 250 mg","Azithromycin Dihydrate","250 mg","ক্যাপসুল","2 x 4","Macrolides","Orion Pharma Ltd.","25","25","OTC"
"Azalid 500 mg","Azalid 500 mg","Azithromycin Dihydrate","500 mg","ট্যাবলেট","3 x 4","Macrolides","Orion Pharma Ltd.","45","45","OTC"
"Azaltic 200 mg/5 ml","Azaltic 200 mg/5 ml","Azithromycin Dihydrate","200 mg/5 ml","পাউডার সাসপেনশন","একক","Macrolides","NIPRO JMI Pharma Ltd.","95","95","OTC"
"Azaltic 500 mg","Azaltic 500 mg","Azithromycin Dihydrate","500 mg","ট্যাবলেট","4 x 3","Macrolides","NIPRO JMI Pharma Ltd.","35","35","OTC"
"Azapin 15 mg","Azapin 15 mg","Mirtazapine","15 mg","ট্যাবলেট","3 x 10","Atypical anti-depressant drugs","Labaid Pharma Ltd.","10","10","OTC"
"Azarest 300 mg","Azarest 300 mg","Azacitidine","300 mg","ট্যাবলেট","1 x 14","Cytotoxic Chemotherapy","Everest Pharmaceuticals Ltd.","1430","1430","OTC"
"Azasite 200 mg/5 ml","Azasite 200 mg/5 ml","Azithromycin Dihydrate","200 mg/5 ml","পাউডার সাসপেনশন","একক","Macrolides","Sharif Pharmaceuticals Ltd.","100","100","OTC"
"Azasite 500 mg","Azasite 500 mg","Azithromycin Dihydrate","500 mg","ট্যাবলেট","3 x 4","Macrolides","Sharif Pharmaceuticals Ltd.","35.11","35.11","OTC"
"Azbec 100 mcg/puff","Azbec 100 mcg/puff","Beclomethasone Dipropionate (Inhaler)","100 mcg/puff","Metered-Dose Inhaler (MDI)","একক","Respiratory corticosteroids","Eskayef Pharmaceuticals Ltd.","270","270","OTC"
"Azbec 250 mcg/puff","Azbec 250 mcg/puff","Beclomethasone Dipropionate (Inhaler)","250 mcg/puff","Metered-Dose Inhaler (MDI)","একক","Respiratory corticosteroids","Eskayef Pharmaceuticals Ltd.","320","320","OTC"
"Azebac 500 mg","Azebac 500 mg","Azithromycin Dihydrate","500 mg","ট্যাবলেট","12's pack","Macrolides","S.N. Pharmaceutical Ltd.","30","30","OTC"
"Azecol 60 mg+30 mg+6 mg+2 mg+15 mg","Azecol 60 mg+30 mg+6 mg+2 mg+15 mg","Vitamin C + Vitamin E + Lutein + Copper + Zinc","60 mg+30 mg+6 mg+2 mg+15 mg","ক্যাপসুল","5 x 10","Anti-oxidant Multivitamin Multimineral preparations, Antioxidant vitamins & minerals for eye","Incepta Pharmaceuticals Ltd.","12","12","OTC"
"Azee 200 mg/5 ml","Azee 200 mg/5 ml","Azithromycin Dihydrate","200 mg/5 ml","পাউডার সাসপেনশন","একক","Macrolides","Guardian Healthcare Ltd.","85","85","OTC"
"Azee 500 mg","Azee 500 mg","Azithromycin Dihydrate","500 mg","ট্যাবলেট","12's pack","Macrolides","Guardian Healthcare Ltd.","30.1","30.1","OTC"
"Azeflu (137 mcg+50 mcg)/spray","Azeflu (137 mcg+50 mcg)/spray","Azelastine Hydrochloride + Fluticasone Propionate","137 mcg+50 mcg)/spray","নেজাল স্প্রে","একক","Nasal Steroid Preparations","OSL Pharma Limited","320","320","OTC"
"Azelast 137 mcg/spray","Azelast 137 mcg/spray","Azelastine Hydrochloride","137 mcg/spray","নেজাল স্প্রে","একক","Nasal Anti-histamine preparations","Incepta Pharmaceuticals Ltd.","180","180","OTC"
"Azelec 20%","Azelec 20%","Azelaic Acid","20%","ক্রিম","একক","Acne treatment preparations","ACME Laboratories Ltd.","75.51","75.51","OTC"
